Веер;Веер STAHLBERG для раздувания огня (углей) в мангале;155;руб.;шт;49;руб.;шт;Распродажа;8 385
0855;Тканевая сумка для покупок 35х45х15 см с вышивкой;263;руб.;шт;79;руб.;шт;Акция -70%;248
0853;Тканевая сумка для покупок 30х45х30 см с вышивкой;273;руб.;шт;82;руб.;шт;Акция -70%;838
6491;Воронка ECO 9,8х8,5х9см Материал: Силикон, PP;203;руб.;шт;122;руб.;шт;Акция -40%;126
9061-S;9061-S STAHLBERG Соковыжималка для цитрусовых MAGNUS 18,0 см (нерж. сталь, силикон);423;руб.;шт;127;руб.;шт;Акция -70%;1 193
9703;Тканевая сумка для покупок 32х58х10 см;444;руб.;шт;134;руб.;шт;Акция -70%;8791
0851;Тканевая сумка для покупок 50х40х12 см с вышивкой;470;руб.;шт;141;руб.;шт;Акция -70%;1512
9409;Менажница с двойными стенками 28х17х3,5 см фиолетовая (полипропилен);730;руб.;шт;149;руб.;шт;Распродажа;1 901
9410;Менажница с двойными стенками 28х17х3,5 см зелёная (полипропилен);730;руб.;шт;149;руб.;шт;Распродажа;1 109
9411;Менажница с двойными стенками 28х17х3,5 см оранжевая (полипропилен);730;руб.;шт;149;руб.;шт;Распродажа;4 431
9412;Менажница с двойными стенками 28х17х3,5 см синяя (полипропилен);730;руб.;шт;149;руб.;шт;Распродажа;5 808
0258;Лопатка силиконовая CARNAVAL 25см. Цвет: зеленый с белой ручкой. Материал: силикон FDA, пластик;255;руб.;шт;153;руб.;шт;Акция -40%;590
0202;Подставка под горячее ECO 18х18х0,7см. Материал: силикон;515;руб.;шт;155;руб.;шт;Акция -70%;214
6219;Ложка чайная с длиной ручкой 21см. Материал: нерж. сталь 18/10;260;руб.;шт;156;руб.;шт;Акция -40%;3 323
6207B;Соковыжималка ручная для цитрусовых (нерж. сталь);342;руб.;шт;171;руб.;шт;Акция -50%;211
0259;Лопатка силиконовая CARNAVAL 25см. Цвет: зеленый с белой ручкой. Материал: силикон FDA, пластик;289;руб.;шт;174;руб.;шт;Акция -40%;433
6088;Пробка для бутылки ESTILO (хромированный цинковый сплав);297;руб.;шт;179;руб.;шт;Акция -40%;192
5470;Набор кухонных принадлежностей 3пр. Состав: воронка, разделитель для яиц, сито для чая. Материал: пластик. Размер: 15,3см, 7,5см, 7,6см;308;руб.;шт;185;руб.;шт;Акция -40%;877
2706;Кухонное полотенце HOME из микрофибры, 38х63. Цвет: бежевый. Материал: 61% композиционное микрофибровое волокно, 39% полиэстер;313;руб.;шт;188;руб.;шт;Акция -40%;301
2708;Кухонное полотенце HOME из микрофибры, 38х63. Материал: 61% композиционное микрофибровое волокно, 39% полиэстер;313;руб.;шт;188;руб.;шт;Акция -40%;83
7105;Сахарница-дозатор Cadence 6,4х11 см, 150 мл Материал:Хром, стекло;376;руб.;шт;188;руб.;шт;Акция -50%;1 030
7190;Колба стеклянная сменная 600мл для френч-прессов (арт. 7180 8538 7014 7022);313;руб.;шт;188;руб.;шт;Акция -40%;82
5792-S;5792-S STAHLBERG Щетка резиновая универсальная для чистки поверхностей 25х18,5 см;1284;руб.;шт;190;руб.;шт;Распродажа;1 721
