Веер;Веер STAHLBERG для раздувания огня (углей) в мангале;155;руб.;шт;49;руб.;шт;Распродажа;8329
855;Тканевая сумка для покупок 35х45х15 см с вышивкой;263;руб.;шт;79;руб.;шт;Акция -70%;158
853;Тканевая сумка для покупок 30х45х30 см с вышивкой;273;руб.;шт;82;руб.;шт;Акция -70%;787
6491;Воронка ECO 9,8х8,5х9см Материал: Силикон, PP;203;руб.;шт;122;руб.;шт;Акция -40%;90
9061-S;9061-S STAHLBERG Соковыжималка для цитрусовых MAGNUS 18,0 см (нерж. сталь, силикон);423;руб.;шт;127;руб.;шт;Акция -70%;1182
9703;Тканевая сумка для покупок 32х58х10 см;444;руб.;шт;134;руб.;шт;Акция -70%;8791
851;Тканевая сумка для покупок 50х40х12 см с вышивкой;470;руб.;шт;141;руб.;шт;Акция -70%;1511
258;Лопатка силиконовая CARNAVAL 25см. Цвет: зеленый с белой ручкой. Материал: силикон FDA, пластик;255;руб.;шт;153;руб.;шт;Акция -40%;170
9841;Терка MINIMI четырехсторонняя 7,62см с магнитом (нерж. сталь, пластик);255;руб.;шт;153;руб.;шт;Акция -40%;22
6219;Ложка чайная с длиной ручкой 21см. Материал: нерж. сталь 18/10;260;руб.;шт;156;руб.;шт;Акция -40%;1063
4004;Лопатка силиконовая CARNAVAL 25,5см. Цвет: синий с белыми кругами. Материал: силикон FDA, полистирол;331;руб.;шт;166;руб.;шт;Акция -50%;1012
6207A;Соковыжималка ручная для цитрусовых (нерж. сталь);342;руб.;шт;171;руб.;шт;Акция -50%;39
6207B;Соковыжималка ручная для цитрусовых (нерж. сталь);342;руб.;шт;171;руб.;шт;Акция -50%;206
259;Лопатка силиконовая CARNAVAL 25см. Цвет: зеленый с белой ручкой. Материал: силикон FDA, пластик;289;руб.;шт;174;руб.;шт;Акция -40%;23
6088;Пробка для бутылки ESTILO (хромированный цинковый сплав);297;руб.;шт;179;руб.;шт;Акция -40%;124
5470;Набор кухонных принадлежностей 3пр. Состав: воронка, разделитель для яиц, сито для чая. Материал: пластик. Размер: 15,3см, 7,5см, 7,6см;308;руб.;шт;185;руб.;шт;Акция -40%;749
2706;Кухонное полотенце HOME из микрофибры, 38х63. Цвет: бежевый. Материал: 61% композиционное микрофибровое волокно, 39% полиэстер;313;руб.;шт;188;руб.;шт;Акция -40%;103
2708;Кухонное полотенце HOME из микрофибры, 38х63. Материал: 61% композиционное микрофибровое волокно, 39% полиэстер;313;руб.;шт;188;руб.;шт;Акция -40%;1129
7105;Сахарница-дозатор Cadence 6,4х11 см, 150 мл Материал:Хром, стекло;376;руб.;шт;188;руб.;шт;Акция -50%;919
7190;Колба стеклянная сменная 600мл для френч-прессов (арт. 7180 8538 7014 7022);313;руб.;шт;188;руб.;шт;Акция -40%;221
9942-S;9942-S STAHLBERG Лопатка с прорезями PLUTON 33,8х8см Материал: нейлон +TPR Светло-голубой цвет ручки;426;руб.;шт;190;руб.;шт;Распродажа;33
9943-S;9943-S STAHLBERG Ложка с прорезями PLUTON 33,7х6см Материал: нейлон +TPR Светло-голубой цвет ручки;426;руб.;шт;190;руб.;шт;Распродажа;2801
